2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
700,0,800,0,0,0,700,4421,21450,28158,19447
2500,0,4640,0,0,0,0,30,0,0,0
0,900,4974,0,0,0,700,1000,0,0,900
0,0,1000,0,0,0,700,300,300,190,1190
0,1820,1200,0,0,0,2062,1000,3020,4075,1360
0,0,0,0,0,0,3400,600,100,1100,10751
0,0,0,0,0,0,0,1075,4502,12750,28568
R,R,R,R,0,0,400,2600,1367,3750,2912
R,R,R,R,0,0,150,9020,5580,4950,4550
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,5200,655,799,9000,5300,20400,21890
R,R,R,R,0,0,0,0,535,1340,1245
1000,0,0,6540,0,0,0,0,0,8525,0
0,0,0,0,0,0,0,0,0,6025,1587
200,300,0,2020,0,0,0,0,0,0,420
200,0,0,0,0,0,0,0,0,0,749
500,650,0,0,0,0,0,0,0,0,250
1500,500,0,0,0,0,550,300,2813,2550,3800
303,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
600,0,0,12757,0,0,0,0,0,0,0
1000,0,0,550,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1800,0,0,13169,0,0,0,0,0,0,0
1200,1500,0,0,1840,220,4205,6297,3010,170,0
0,0,0,1100,0,0,0,0,0,0,0
0,650,0,1800,0,0,4168,3150,580,0,0
0,0,0,0,0,0,200,0,0,0,0
3988,0,0,5194,0,0,1000,297,500,1000,0
700,500,0,7650,0,0,0,0,0,0,0
12000,1985,0,2200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,300,0,0,0,0
0,0,0,0,0,4320,1700,4800,3100,6200,3330
R,R,R,R,10700,6000,7554,8700,12500,3800,3500
R,R,R,R,1700,1300,0,0,1000,0,0
R,R,R,R,944,3211,2163,5212,3100,2810,5400
8427,5800,223320,6590,18000,18100,10215,12000,18000,14500,23168
10500,7000,8000,6600,3990,3400,2370,3850,3975,1880,2450
1500,200,0,0,4096,4050,5240,3400,12066,5600,3620
437,2304,0,0,15000,7170,19208,20150,23610,24500,22490
17000,14850,49651,0,1384,2250,2300,900,638,2517,0
0,0,0,0,350,3400,1110,0,500,200,300
4100,7150,6515,2400,14294,9038,14056,13044,6500,19544,8000
6158,3579,25920,6821,4800,2100,100,1000,0,0,0
18200,15100,43342,11000,0,0,150,50,200,0,800
8035,3271,3300,0,900,200,0,100,320,100,1197
5055,4660,6700,4722,5000,10800,1000,9000,6000,7000,7000
5100,200,4370,0,2000,4700,1500,5700,1900,500,3810
35346,14191,124159,10700,0,0,630,270,310,500,500
2400,2630,700,1300,0,0,502,72,220,100,0
100,0,0,0,0,0,4700,6945,600,1300,2609
0,0,0,5000,6220,7420,7450,5600,4500,8696,5700
0,0,0,0,0,0,0,80,600,800,4519
0,800,0,0,16450,6300,1805,0,1600,1100,3600
7000,6800,7500,0,0,0,0,0,0,0,0
2250,1500,4140,0,4321,2170,0,0,0,0,0
R,450,33179,5200,0,0,0,0,0,0,0
0,0,0,0,1000,2500,0,0,0,0,0
0,0,0,0,0,0,0,1824,425,3838,791
R,R,R,R,0,0,865,225,500,440,1300
R,R,R,R,51192,51989,33085,16050,18841,2489,6529
R,R,R,R,4000,0,500,5000,2000,500,0
R,R,R,R,851,0,5300,2000,0,1000,11111
R,R,R,R,100,1000,500,5000,2185,0,100
R,R,R,R,3300,1200,3255,1613,2915,2460,2150
R,R,R,R,108500,93700,100650,71475,83690,19000,3000
R,R,R,R,1200,2550,5000,2900,2600,1200,2950
R,R,R,R,0,200,0,168,0,0,0
R,R,R,R,0,0,2850,2973,300,1200,600
R,R,R,R,0,0,3400,1200,1000,1150,1200
R,R,R,R,0,0,500,1500,500,1000,200
0,5929,19925,30200,0,0,0,6174,5550,2800,3328
0,313,0,0,0,0,0,170,815,322,1561
0,27877,56690,69649,0,0,0,1062,2000,0,1000
0,900,200,0,0,0,0,0,0,0,0
2200,3000,3500,2100,0,0,0,0,150,450,335
0,8500,3902,10000,0,0,0,0,0,0,9511
0,2213,0,0,0,0,0,0,0,0,3458
0,200,580,525,0,0,0,0,0,0,0
0,200,100,160,0,0,0,0,0,0,0
0,0,11000,0,0,0,0,0,0,0,0
0,5960,5650,1450,300,0,0,0,0,0,0
0,1060,1440,3900,0,0,0,2222,1700,350,0
1500,33727,25880,14771,0,0,0,100,18800,5000,0
0,102400,650140,78300,0,0,0,0,400,0,0
0,1200,1700,300,1100,100,0,0,0,0,0
0,1300,3000,750,0,0,0,0,0,0,0
0,4748,18586,100,2839,1000,0,0,0,0,0
0,0,865,0,0,0,0,0,0,0,0
0,400,2090,990,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1100,1900,5264,0,0,0,0,0,0,0
R,0,600,100,0,199,0,0,0,0,0
R,R,R,R,0,0,0,500,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,100,50,100,50,0,150,115
R,R,R,R,0,0,0,5010,4300,3848,3700
R,R,R,R,0,0,0,190,0,200,0
R,R,R,R,8274,9400,6900,6760,9370,7600,3300
R,R,R,R,1520,1190,2200,1100,2600,400,700
R,R,R,R,5850,1690,3900,2071,4544,4780,2300
R,R,R,R,3000,1500,2000,980,5100,2250,1870
R,R,R,R,4000,2230,6300,1500,800,3300,1150
R,R,R,R,13800,9000,13000,16700,16300,16450,13950
R,R,R,R,6511,8781,4228,4731,6312,3885,300
3876,200,3500,2100,1600,100,0,0,4100,177,1000
300,0,20400,500,2722,548,2482,950,2824,180,760
2800,0,0,0,0,2500,0,500,0,0,5000
10160,6300,22225,13000,5500,4600,4000,0,3500,7000,2000
3300,2950,3800,7800,200,0,100,100,200,0,0
7860,3420,9900,1000,2235,1500,2200,3171,1550,2500,2100
1000,400,0,0,0,0,0,0,0,0,0
0,0,0,0,451,850,200,701,1201,700,0
1465,130,54845,1050,500,0,0,0,200,0,5000
3700,4600,3880,203600,0,11810,337,4690,45640,3580,18300
10430,11000,18800,2800,3000,3000,1000,2000,2000,2000,0
6200,3427,6800,0,1200,1000,1720,1700,1000,2000,1500
0,700,0,10100,0,0,0,0,0,0,0
4308,3926,1766,1200,0,0,0,0,0,0,0
1000,625,3456,0,0,0,0,0,0,0,0
1119,2000,0,0,0,0,13622,10305,12689,2400,0
50,1000,1300,1000,0,0,0,2027,1300,700,200
2000,2000,12000,2000,0,0,0,850,900,450,0
R,4800,26800,9200,300,200,400,1140,900,400,200
500,35806,67832,11600,1150,1500,1000,2000,1000,1810,1000
500,3480,5181,0,27749,8540,11343,40168,38491,215046,195430
0,0,1000,0,950,2700,2750,7600,22050,33000,13601
0,1200,17334,7218,2500,6632,2082,1110,4050,2250,200
0,0,0,0,2300,1700,1000,1300,1200,1500,1000
0,1970,0,0,2000,1000,0,0,0,0,200
0,0,0,0,6000,1800,5000,8800,11000,500,10600
R,R,R,R,300,730,240,555,439,0,60
R,R,R,R,7850,700,700,1700,3100,7100,2300
R,R,R,R,1000,500,1500,500,500,500,0
R,R,R,R,1311,960,1397,686,1593,300,1928
R,R,R,R,1000,1500,1100,500,1000,0,500
R,R,R,R,0,0,600,5000,17034.8,12155,7049
R,R,R,R,0,0,300,2640,100,170,1150
2400,1699,3176,1250,0,0,0,0,0,0,0
2307,31891,5960,1450,0,0,0,0,0,0,200
400,200,6500,2100,0,0,0,0,0,0,850
2000,1000,2500,0,0,0,0,0,0,0,0
15228,9280,44108,20440,0,0,0,0,0,0,0
23643,23330,12300,7850,0,0,0,0,0,0,0
1990,6000,8480,1290,0,0,0,0,0,0,0
3850,800,0,0,0,0,0,0,0,0,0
1250,3950,2649,7200,300,0,0,0,0,0,0
1900,2200,3700,12300,0,0,0,0,0,0,0
950,857,9110,0,260,0,0,0,0,0,0
2400,200,200,2020,500,0,0,0,0,0,0
5000,0,25002,0,300,0,0,100,0,0,0
1200,1199,1973,553,0,0,0,4200,0,0,0
2700,2100,2901,8350,1200,3150,3138,3020,2087,100,0
0,0,3000,0,2328,1250,2900,1044,2530,1550,4430
500,7500,1000,500,11050,3450,5800,7825,5780,8350,5640
1500,0,500,1000,500,100,300,0,200,0,0
0,0,0,0,12300,7730,14750,6590,15100,6000,4800
0,0,100,0,0,200,400,400,0,0,0
450,0,0,0,4625,1400,475,640,300,1400,3871
200,0,150,100,2300,2500,6300,2000,3000,2850,7000
0,0,0,0,5400,5300,5502,5500,6000,5700,4833
4340,0,0,0,1400,1000,300,700,400,450,1200
0,0,0,0,800,1800,2157,3810,3700,900,2000
R,R,R,R,550,200,200,125,0,0,0
R,R,R,R,0,0,1000,1041,1000,749,255
R,R,R,R,0,0,2500,4000,3800,4350,5840
R,R,R,R,0,0,0,910,0,540,1300
R,R,R,R,0,0,0,400,100,0,200
R,R,R,R,0,0,0,477,500,1300,200
R,R,R,R,3700,3700,5300,2500,5500,500,2000
R,R,R,R,0,0,0,0,100,0,100
R,R,R,R,850,1100,116,226,300,2100,300
8600,11470,8690,13250,1126,2900,200,0,0,800,0
5300,5300,64500,3100,0,0,0,0,0,0,0
0,500,494,1700,0,0,0,0,0,0,0
100,5000,1500,0,0,0,0,0,0,0,0
15380,12010,25100,2350,0,0,0,0,0,0,0
1200,1000,300,300,100,0,0,0,0,0,0
300,1450,5870,1100,0,0,0,0,0,0,0
1391,1411,3530,238,0,0,0,0,100,0,0
4100,1700,8400,7000,0,1000,950,400,0,0,0
4100,5300,6920,5200,3000,1700,2600,600,700,0,0
1300,900,1100,600,500,500,100,0,0,0,0
1200,800,2570,2400,31506,22750,26158,21100,41330,26450,124300
1145,942,2865,2669,21650,21308,21484,21500,22380,16270,22460
1850,1400,10150,4860,100,5900,4450,2300,4350,2500,5150
0,0,0,300,5685,6324,4800,5050,6050,2600,2800
0,200,1100,300,294,270,715,5698,3510,889,0
0,0,0,0,1750,650,310,300,300,0,0
0,0,0,0,3310,738,1394,1716,2110,2167,1126
0,551,1670,0,3700,1200,1867,1000,1188,2600,650
100,985,2600,0,395,0,588,534,1283,947,248
200,0,0,0,0,0,0,600,1600,1300,0
0,0,0,0,0,0,0,400,0,0,0
0,0,0,0,0,0,0,850,99,0,300
0,0,0,0,0,0,0,3700,5300,5400,910
R,R,R,R,0,0,0,100,0,0,750
R,R,R,R,0,0,0,200,550,5300,1300
R,R,R,R,500,2280,0,0,500,593,1500
R,R,R,R,0,0,4735,1000,1975,0,1972
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,1420,0,0,120,724,100,230
R,R,R,R,0,0,0,0,0,0,2400
R,R,R,R,0,0,0,0,0,0,0
8125,2100,0,0,16000,0,0,0,0,0,0
6600,7692,17731,47425,0,0,0,0,0,0,0
653,486,109,0,300,0,0,0,0,0,0
3900,3750,5800,2090,930,1000,0,0,0,0,0
3700,6800,10205,13194,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,850,17857,14474,0,0,0,0,0,0,0
21100,70686,75339,17000,0,0,0,0,0,0,0
0,0,1100,100,0,0,0,0,0,0,0
150,201,789,2080,6500,5224,0,0,0,0,0
2000,3500,17000,0,1100,350,0,0,0,0,0
3130,1500,2500,500,0,0,0,0,0,0,0
0,0,0,0,35600,29450,10687,5500,0,0,0
1118,720,599,1203,0,0,0,1588,3160,561,0
100,0,0,0,0,0,0,0,0,0,0
45600,28365,43500,55250,0,0,4115,5470,2260,2000,2660
5300,10370,5600,2250,930,1000,180,310,4200,850,2716
600,1200,1000,0,6000,11500,0,6500,6750,15001,6653
0,0,500,0,0,0,1500,1500,1800,3100,100
13369,3128,10387,0,0,0,326,1141,0,0,0
R,R,R,R,0,0,249,0,0,10,0
R,R,R,R,0,0,2750,2500,2767,600,6350
R,R,R,R,0,0,0,0,300,500,500
R,R,R,R,0,0,100,0,0,0,100
R,R,R,R,0,0,0,0,0,400,0
R,R,R,R,0,0,249,0,0,0,0
R,R,R,R,0,0,0,0,100,0,0
R,R,R,R,0,0,0,0,0,0,50
R,R,R,R,0,0,0,150,50,300,0
0,0,0,0,0,0,0,420,0,0,0
0,0,0,R,0,0,0,0,0,150,50
0,0,0,R,0,0,0,0,660,0,0
0,0,0,R,0,300,3475,300,1990,0,2000
0,0,0,R,0,0,0,0,0,0,1600
0,0,0,R,0,0,0,0,0,0,0
0,0,0,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,900,200,199,0,0
R,R,R,R,0,0,0,0,0,3040,0
1500,780,700,16600,0,0,0,500,0,0,0
8095,6250,9050,16230,0,0,0,200,170,350,170
0,0,2200,0,0,0,0,0,800,4005,600
1000,0,0,0,3600,8350,0,9000,4190,4400,4300
1770,1570,14700,6800,923,3813,0,7920,8819,5450,2741
0,0,0,0,700,0,0,0,0,200,200
0,0,11000,200,22688,4640,0,3000,2551,3725,6982
2462,1050,28399,500,0,100,0,0,300,0,0
2000,800,200,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
400,200,1100,2700,0,0,0,4100,150,2000,1500
6959,21800,39900,11943,0,0,0,300,0,0,600
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1820,0,0,1180
0,0,0,0,0,0,0,79,200,0,0
0,1100,1000,150,1000,0,0,2600,1000,0,0
0,0,0,0,0,0,0,952,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,3570,8473,0,16954,3819,0,10000
R,R,R,R,0,0,0,0,0,0,210
R,R,R,R,1500,0,0,800,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,0,0,0,0,0,0,0
R,R,R,R,700,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4878,4000,7900,6900
0,0,0,0,0,0,0,890,3600,550,970
0,0,0,0,0,0,0,1000,1100,1000,1000
0,0,0,0,0,0,0,800,950,1369,1427
0,0,0,0,0,0,0,2330,1180,300,150
0,0,0,0,0,0,0,2790,2317,3299,1988
0,0,0,0,0,0,0,1300,900,700,200
0,0,0,0,0,0,0,300,240,0,0
0,0,0,0,0,0,0,0,0,0,500
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1700,900,1800,1600
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,221,2153,0,3713,5829,2991,4411
0,0,0,0,800,750,500,1000,1000,1500,3146
0,0,0,0,0,0,0,0,1200,3000,6900
0,0,0,0,0,0,0,0,2818,7182,20241
0,0,0,0,0,0,0,0,738,653,350
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2810
0,0,0,0,0,0,0,17533,19780,14700,7221
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,537,0,0
0,0,0,0,0,0,0,0,0,100,0
0,0,0,0,0,0,0,0,0,0,6720
0,0,0,0,0,0,0,10132,23840,21000,10200
0,0,0,0,3020,7000,0,9230,13513,5506,6303
0,0,0,0,0,0,0,2000,7320,5300,3950
0,0,0,0,0,0,0,9823,6440,17381,23651
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6212,5709,3538,3994
0,0,0,0,0,0,0,7052,1950,5778,591
0,0,0,0,0,0,0,41401,14384,15950,15230
0,0,0,0,0,0,0,540,150,0,0
0,0,0,0,0,0,0,3700,100,100,200
0,0,0,0,0,0,0,2400,5267,1242,4845
0,0,0,0,0,0,0,530,300,560,500
0,0,0,0,0,0,0,80,0,9500,3500
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,200
0,0,0,0,0,0,0,0,0,70,73
0,0,0,0,0,0,0,100,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,24860,5250,0,0
0,0,0,0,0,0,0,190,0,0,0
0,0,0,0,0,0,0,1580,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3738,5933,4808,11100
0,0,0,0,0,0,0,0,5300,10155,9000
0,0,0,0,0,0,0,0,0,5300,5300
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5300,5300,5300
0,0,0,0,0,0,0,0,5300,5300,2000
0,0,0,0,650,900,1981,6600,5300,3700,1982
